,duration1,duration2,duration3,duration4,duration5,duration6,duration7,duration8,duration21,duration9,duration10,duration27,duration13,duration14,duration24,duration11,duration12,duration15,duration16,duration18,duration17,duration19,duration20,duration22,duration23,duration25,duration26,duration28,duration29,duration30,duration31,duration32,duration33,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost21,cost9,cost10,cost27,cost13,cost14,cost24,cost11,cost12,cost15,cost16,cost18,cost17,cost19,cost20,cost22,cost23,cost25,cost26,cost28,cost29,cost30,cost31,cost32,cost33,total_cost,total_planned_value,baseline_duration,actual_duration
0,0,59.0,339.0,12.0,22.0,190.14752926554402,179.39664811102097,125.25990675703318,81.72192423866147,224.80121718194283,103.45236708390146,241.7034102780359,264.7820953693087,9.162552463567264,57.53031944120996,10.909321216466298,42.45883037870123,18.75454698647191,23.800660760505295,15.773788577867013,16.485078969605098,8.88293762081295,9.417531577451761,18.427001313871315,8.923150929076167,9.552899852000195,18.629564072928137,9.92747144395687,10.263843209037852,9.15379486696032,16.238108288373457,8.367045938961594,0,0,5900.0,200.0,200.0,880.0,3802.9505853108803,3587.9329622204195,2505.1981351406635,8172.192423866147,936.6717382580952,6207.142025034088,24170.34102780359,517.1525300181811,171.7978586918862,1078.693489522687,1227.2986368524585,796.103069600648,351.64775599634834,929.713310957238,924.2454244843952,965.9225958752987,520.4846262195088,551.8084908663142,691.0125492701743,209.13634990022265,1119.4804514062728,698.6086527348051,198.5494288791374,192.44706016945972,858.16826877753,0.0,196.10263919441235,0,68760.80208705086,58900.0,1107.6000000000001,1151.4295037932181
1,0,59.0,339.0,12.0,22.0,249.63977436550957,180.32109608625268,145.64428513072906,75.75447228869668,184.612652888384,91.6457560949228,238.16288581550484,275.21955130159006,11.01937815749766,55.26553609158947,11.135580142494337,35.084632757787716,15.502765008475759,26.9683271483525,18.717576241466006,17.192307003313694,7.218163191002044,9.02540765591238,15.733901522510617,8.463769717245583,8.579965266667102,15.381697118141304,10.033528683943116,10.819212635248759,11.485489387973878,18.593613508441834,8.897779008551932,0,0,5900.0,200.0,200.0,880.0,4992.795487310192,3606.421921725054,2912.885702614581,7575.447228869668,769.2193870349333,5498.7453656953685,23816.288581550485,537.5381861359181,206.61334045308115,1036.2288017173028,1252.752766030613,657.8368642085197,290.6768439089205,1053.4502792325195,1096.7329828983989,1007.3617384754117,422.939249472776,528.832479838616,590.0213070941481,198.36960274794336,1005.4646796875511,576.8136419302989,200.67057367886233,202.86023691091424,1076.7646301225511,0.0,208.54169551293592,0,68502.27357485757,58900.0,1107.6000000000001,1221.36634531879
2,0,59.0,339.0,12.0,22.0,137.06072464024274,113.10690210423078,158.70891076881193,81.07742675611158,194.97678471608558,106.22791158416771,241.21650711718763,271.40830431714534,11.74304513554996,60.58803747249485,11.623494655556705,39.00891410374098,18.262227815381777,22.819145928945304,17.271866810997228,18.328647933324252,7.392924174660957,8.79130545537257,16.530207247412143,9.417574228980932,8.478899597780096,16.442251392675836,10.04649511119022,10.620332131460046,11.039947252432402,17.69524020888017,9.218570423571055,0,0,5900.0,200.0,200.0,880.0,2741.2144928048547,2262.138042084616,3174.1782153762388,8107.742675611158,812.4032696503566,6373.674695050063,24121.650711718765,530.0943443694244,220.18209629156175,1136.0257026092786,1307.6431487501293,731.4171394451433,342.41677153840834,891.3728878494259,1012.0234459568688,1073.9442148432179,433.1791508590404,515.1155540257365,619.8827717779553,220.7243959917406,993.621046614855,616.5844272253438,200.9299022238044,199.13122746487585,1034.9950549155376,0.0,216.06024430244662,0,67068.34562935085,58900.0,1107.6000000000001,1115.4422749973432
3,0,59.0,339.0,12.0,22.0,250.22314236827182,163.2392002082706,148.15660987590527,76.39231378960814,87.03062639103112,101.46005765954756,240.90116819684485,275.8736643530149,11.671839701380664,56.45566176778017,10.832628415516025,46.24522715452614,16.931173845926168,25.735954318829123,17.495549829555863,18.16916668299727,7.2302363138088195,8.350153300713366,18.395141155916658,8.637949123655345,9.358189214629641,17.337417083760073,10.042970360354042,11.513323485794956,10.441981273146885,18.43009140427545,7.516626106173613,0,0,5900.0,200.0,200.0,880.0,5004.462847365437,3264.784004165412,2963.1321975181054,7639.231378960814,362.6276099626297,6087.603459572853,24090.116819684485,538.8157506894822,218.84699440088744,1058.5436581458785,1218.6706967455527,867.0980091473651,317.45950961111566,1005.3107155792626,1025.1298728255388,1064.5996103318712,423.6466590122355,489.26679496367376,689.8177933468746,202.45193258567213,1096.662798589411,650.1531406410028,200.85940720708084,215.87481535865544,978.9357443575204,0.0,176.17092436344404,0,69030.27314513226,58900.0,1107.6000000000001,1224.5009862747295
4,0,59.0,339.0,12.0,22.0,219.2200702068353,191.0362243363196,200.9992332745526,79.33670654888402,166.63492246106597,90.16012353418601,241.19559211845947,275.23579716261554,11.283445921857773,61.40905000522943,10.743295433048495,41.1649590072831,16.8569298169133,22.90711482019471,15.945351506293127,18.96150419201078,8.918344359481289,8.084640687327763,18.93486670932331,8.406822551391647,8.147044928043469,14.936250314078304,9.980785936801528,10.85145203599043,10.039240931699249,15.60111930977734,9.01740737112308,0,0,5900.0,200.0,200.0,880.0,4384.401404136705,3820.724486726392,4019.984665491052,7933.670654888402,694.3121769211083,5409.607412051161,24119.559211845946,537.5699163332334,211.56461103483323,1151.419687598052,1208.6207362179557,771.8429813865581,316.0674340671244,894.8091726638559,934.2979398218629,1111.0256362506316,522.5592398133567,473.7094152731111,710.0575015996241,197.03490354824172,954.731827505094,560.1093867779364,199.61571873603054,203.46472567482056,941.1788373468046,0.0,211.34548526069716,0,69673.28516897059,58900.0,1107.6000000000001,1191.1022241416026
5,0,59.0,339.0,12.0,22.0,224.21762253699424,186.1771150625989,130.35702899356846,80.10567854984082,153.0840789854311,97.67681114898019,239.6334052267387,255.56992098930604,10.785427310753432,58.72757858694032,10.944185731081799,40.88457215455079,17.997334694148893,23.996680314055173,16.399473698160474,15.43346163152524,8.484050041670884,8.78109683302017,17.591229906577063,8.332810091876166,9.042795136358016,14.052286872586418,10.017107501139353,10.440794751035652,11.558418813078312,15.79431650494529,8.972176121636661,0,0,5900.0,200.0,200.0,880.0,4484.352450739885,3723.5423012519777,2607.1405798713695,8010.567854984081,637.8503291059629,5860.608668938811,23963.34052267387,499.16000193223834,202.22676207662684,1101.1420985051311,1231.2208947467022,766.5857278978273,337.45002551529177,937.3703247677802,960.9066620015902,904.304392472182,497.11230712915335,514.5173925597755,659.6711214966399,195.30023652834763,1059.702555041955,526.9607577219907,200.34215002278705,195.76490158191848,1083.6017637260918,0.0,210.28537785085925,0,68551.02816114086,58900.0,1107.6000000000001,1174.645343631796
6,0,59.0,339.0,12.0,22.0,195.6971758129051,174.2188079549332,131.42297072722627,79.80614577414559,228.21916313230477,101.08571147889643,239.92557509346645,227.00477922455116,10.584940454731173,51.555326478245256,11.747620359284868,43.92266549154226,15.668248930777075,23.31612090409491,17.653582387825892,16.298955915863527,9.074390315889081,8.453476871935305,18.346943624830978,7.977495054437629,9.062502012847865,18.276458808975292,9.991909794106421,10.673099343064516,10.998873200235114,17.450454518585325,9.412507024054118,0,0,5900.0,200.0,200.0,880.0,3913.943516258102,3484.376159098664,2628.4594145445253,7980.614577414559,950.9131797179366,6065.142688733786,23992.557509346643,443.3687094229515,198.4676335262095,966.6623714670988,1321.6072904195476,823.5499779664174,293.77966745207016,910.7859728162074,1034.3895930366734,955.0169481951285,531.7025575716259,495.32091046495924,688.0103859311616,186.97254033838192,1062.0119546306091,685.3672053365734,199.83819588212842,200.12061268245967,1031.144362522042,0.0,220.6056333762684,0,68444.72956815273,58900.0,1107.6000000000001,1120.155500810733
7,0,59.0,339.0,12.0,22.0,252.3729158642582,164.95505779226818,171.66071775893505,79.5177932763646,183.52650659472152,105.79543103569877,238.52098231055817,253.56816253294375,11.341732167938519,57.60297100361545,11.428244555971984,46.182791396902935,18.544737883446892,27.75023101723922,16.519119429185828,17.864143990499386,9.437807640880516,8.364250815089443,18.064764948967074,9.218304777857295,8.782446484177346,18.466267886732787,9.950030732783343,11.581462592901147,11.270058170872797,16.864147525915154,8.92262185021427,0,0,5900.0,200.0,200.0,880.0,5047.458317285164,3299.101155845364,3433.214355178701,7951.77932763646,764.6937774780064,6347.725862141926,23852.098231055817,495.25031744715574,212.65747814884722,1080.0557063177898,1285.6775125468482,865.92733869193,347.71383531462925,1083.993399110907,967.9171540538571,1046.7271869433234,552.9965414578427,490.09282119664704,677.4286855862653,216.05401823103034,1029.1929473645328,692.4850457524796,199.00061465566688,217.1524236168965,1056.5679535193246,0.0,209.12394961439696,0,70602.0859561918,58900.0,1107.6000000000001,1201.7803234095736
8,0,59.0,339.0,12.0,22.0,251.7128200392359,204.55899624906874,145.11466715426883,77.8291836748543,148.21693886169956,102.86096161879898,238.88641689253237,286.46929575458796,11.500185021583277,62.35892098133215,10.905227177892197,37.07875384239999,17.02303946851516,24.66817509326754,16.636748694118165,18.34677526671792,8.258771791804206,7.524117513160792,16.91241205796694,8.908713155263614,7.948873703851838,16.92743469695446,9.96303667475744,11.264533520787161,11.210442900338812,18.31318818145413,9.429785513130506,0,0,5900.0,200.0,200.0,880.0,5034.256400784718,4091.179924981375,2902.2933430853764,7782.91836748543,617.5705785904149,6171.657697127939,23888.641689253236,559.5103432706796,215.62846915468646,1169.229768399978,1226.8380575128722,695.2266345449998,319.1819900346593,963.6005895807632,974.8094937959862,1075.0063632842532,483.91240967602766,440.86626053676514,634.2154521737602,208.79796457649095,931.5086371701373,634.7788011357923,199.2607334951488,211.21000351475928,1050.9790219067636,0.0,221.01059796399625,0,69884.089593037,58900.0,1107.6000000000001,1236.0390765764855
9,0,59.0,339.0,12.0,22.0,192.48053900114758,126.60949842505522,179.43457640471433,79.06575956537853,85.60143091465324,87.99050789540681,238.8982981076496,268.7152206811708,10.317234437723007,56.24511738649301,10.575770856614504,43.018841951837686,17.655287604910775,26.80144649963507,17.722456474570393,18.11847449856874,9.002676490761486,8.834854813863355,15.605926185795008,8.604097769952656,8.376819023208022,18.225409702461345,9.96469395297749,11.326608141877252,11.091939100032834,16.392795973023947,8.594698954918986,0,0,5900.0,200.0,200.0,880.0,3849.6107800229515,2532.1899685011044,3588.6915280942867,7906.575956537853,356.6726288110552,5279.430473724408,23889.82981076496,524.8344153929118,193.4481457073064,1054.595950996744,1189.7742213691317,806.6032865969567,331.03664259207704,1046.931503891995,1038.425184056859,1061.629365150512,527.5005756305558,517.6672742498059,585.2222319673128,201.65854148326537,981.65847928219,683.4528638423004,199.2938790595498,212.37390266019847,1039.869290628078,0.0,201.43825675591373,0,66980.41515777029,58900.0,1107.6000000000001,1156.3728548127658
