duration1,duration2,duration3,duration4,duration5,duration6,duration7,duration8,duration9,duration10,duration11,duration12,duration13,duration14,duration15,delay,subrogate_model,method,proximity,diversity,sparsity
1693.7271063841183,1886.0662500449257,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2013.1820988792238,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1694.30838540654,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,7.11783167975383,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1809.0513783183274,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,1754.282664523227,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1674.1400916104192,257.5074137794822,2353.7368113140856,1883.9731010305711,1953.4487186312226,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1886.0662500449257,210.35275913260875,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,1898.765933488487,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1779.8246272806243,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1794.3196770141178,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1658.286273379888,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1572.1873837874205,1822.7190796597292,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1749.3670858011303,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,2295.998461193571,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
1693.7271063841183,1838.9306023322958,257.5074137794822,2353.7368113140856,1883.9731010305711,2140.081449746736,1804.6822407520096,1730.276267687896,2111.3990626055406,2327.1692208374334,1972.3048655838463,138.80972823444566,8.609983004630735,219.1229190549994,8.988230412688676,0,TensorFLow,random,0.5,1,0.1 linear
